Year,Criminality ,Arrests,%Total 
"2,017",Criminal Convictions,"105,736",73.70%
2017,Pending Criminal Charges,"22,256",15.50%
2017,No Known Criminal Charges or Convictions,"15,478",10.80%
2017,Total Arrests,"143,470",100.00%
