Year,Criminality ,Arrests,%Total 
"2,022",Criminal Convictions,"42,323",13.79%
2022,Pending Criminal Charges,"12,233",3.98%
2022,No Known Criminal Charges or Convictions,"252,423",82.23%
2022,Total Arrests,"306,979",100.00%
