Agency,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Total
Total,"40,551","44,313","44,418","41,027","47,103","55,149","54,961","56,826","40,367","33,769","27,803","24,567","510,854"
ICE,"11,892","11,224","10,818","12,013","11,539","11,722","11,527","11,898","10,650","11,653","11,420","10,728","137,084"
CBP,"28,659","33,089","33,600","29,014","35,564","43,427","43,434","44,928","29,717","22,116","16,383","13,839","373,770"
