Year,Criminality ,Arrests,%Total 
"2,021",Criminal Convictions,"39,049",20.57%
2021,Pending Criminal Charges,"10,087",5.31%
2021,Other Immigration Violator,"140,711",74.12%
2021,Total Arrests,"189,847",100.00%
