Year,Criminality ,Arrests,%Total 
"2,018",Criminal Convictions,"109,421",59.40%
2018,Pending Criminal Charges,"33,302",30.60%
2018,Other Immigration Violator,"20,616.00",10.00%
2018,Total Arrests,"158,581",100.00%
