Year,Criminality ,Arrests,%Total 
"2,019",Criminal Convictions,"155,891",30.52%
2019,Pending Criminal Charges,"38,635",7.56%
2019,Other Immigration Violator,"316,328",61.92%
2019,Total Arrests,"510,854",100.00%
