Year,Criminality ,Arrests,%Total 
"2,020",Criminal Convictions,"98,375",12.85%
2020,Pending Criminal Charges,"23,500",53.80%
2020,Other Immigration Violator,"60,994",33.35%
2020,Total Arrests,"182,869",100.00%
