Year,Criminality ,Arrests,%Total 
"2,023",Criminal Convictions,"63,520",23.25%
2023,Pending Criminal Charges,"21,904",8.02%
2023,No Known Criminal Charges or Convictions,"187,796",68.73%
2023,Total Arrests,"273,220",100.00%
